report_date,location,zika_confirmed
2015-12-12,Mexico-Yucatan,0
2015-12-12,Mexico-Zacatecas,0
2015-12-16,Guatemala,1
2015-12-16,Guatemala-Chiquimula,0
2015-12-16,Guatemala-Escuintla,1
2015-12-16,Guatemala-Jutiapa,0
2015-12-16,Guatemala-Suchitepequez,0
2015-12-16,Guatemala-Zacapa,1
2015-12-19,El_Salvador,0
2015-12-19,El_Salvador-Ahuachapan,0
2015-12-19,El_Salvador-Cabanas,0
2015-12-19,El_Salvador-Chalatenango,0
2015-12-19,El_Salvador-Cuscatlan,0
2015-12-19,El_Salvador-La_Libertad,0
2015-12-19,El_Salvador-La_Paz,0
2015-12-19,El_Salvador-La_Union,0
2015-12-19,El_Salvador-Morazan,0
2015-12-19,El_Salvador-San_Miguel,0
2015-12-19,El_Salvador-San_Salvador,0
2015-12-19,El_Salvador-San_Vicente,0
2015-12-19,El_Salvador-Santa_Ana,0
2015-12-19,El_Salvador-Sonsonate,0
2015-12-19,El_Salvador-Usulutan,0
2015-12-19,Mexico-Aguascalientes,0
2015-12-19,Mexico-Baja_California,0
2015-12-19,Mexico-Baja_California_Sur,0
2015-12-19,Mexico-Campeche,0
2015-12-19,Mexico-Chiapas,0
2015-12-19,Mexico-Chihuahua,0
2015-12-19,Mexico-Coahuila_de_Zaragoza,0
2015-12-19,Mexico-Colima,0
2015-12-19,Mexico-Distrito_Federal,0
2015-12-19,Mexico-Durango,0
2015-12-19,Mexico-Guanajuato,0
2015-12-19,Mexico-Guerrero,0
2015-12-19,Mexico-Hidalgo,0
2015-12-19,Mexico-Jalisco,0
2015-12-19,Mexico-Mexico,0
2015-12-19,Mexico-Michoacan_de_Ocampo,0
2015-12-19,Mexico-Morelos,0
2015-12-19,Mexico-Nayarit,0
2015-12-19,Mexico-Nuevo_Leon,0
2015-12-19,Mexico-Oaxaca,0
2015-12-19,Mexico-Puebla,0
2015-12-19,Mexico-Queretaro_de_Arteaga,0
2015-12-19,Mexico-Quintana_Roo,0
2015-12-19,Mexico-San_Luis_Potosi,0
2015-12-19,Mexico-Sinaloa,0
2015-12-19,Mexico-Sonora,0
2015-12-19,Mexico-Tabasco,0
2015-12-19,Mexico-Tamaulipas,0
2015-12-19,Mexico-Tlaxcala,0
2015-12-19,Mexico-Veracruz_de_Ignacio_de_la_Llave,0
2015-12-19,Mexico-Yucatan,0
2015-12-19,Mexico-Zacatecas,0
2015-12-23,Guatemala,1
2015-12-23,Guatemala-Chiquimula,0
2015-12-23,Guatemala-Escuintla,1
2015-12-23,Guatemala-Jutiapa,0
2015-12-23,Guatemala-Nor_Oriente,0
2015-12-23,Guatemala-Suchitepequez,0
2015-12-23,Guatemala-Zacapa,1
2015-12-26,Mexico-Aguascalientes,0
2015-12-26,Mexico-Baja_California,0
2015-12-26,Mexico-Baja_California_Sur,0
2015-12-26,Mexico-Campeche,0
2015-12-26,Mexico-Chiapas,0
2015-12-26,Mexico-Chihuahua,0
2015-12-26,Mexico-Coahuila_de_Zaragoza,0
2015-12-26,Mexico-Colima,0
2015-12-26,Mexico-Distrito_Federal,0
2015-12-26,Mexico-Durango,0
2015-12-26,Mexico-Guanajuato,0
2015-12-26,Mexico-Guerrero,0
2015-12-26,Mexico-Hidalgo,0
2015-12-26,Mexico-Jalisco,0
2015-12-26,Mexico-Mexico,0
2015-12-26,Mexico-Michoacan_de_Ocampo,0
2015-12-26,Mexico-Morelos,0
2015-12-26,Mexico-Nayarit,0
2015-12-26,Mexico-Nuevo_Leon,0
2015-12-26,Mexico-Oaxaca,0
2015-12-26,Mexico-Puebla,0
2015-12-26,Mexico-Queretaro_de_Arteaga,0
2015-12-26,Mexico-Quintana_Roo,0
2015-12-26,Mexico-San_Luis_Potosi,0
2015-12-26,Mexico-Sinaloa,0
2015-12-26,Mexico-Sonora,0
2015-12-26,Mexico-Tabasco,0
2015-12-26,Mexico-Tamaulipas,0
2015-12-26,Mexico-Tlaxcala,0
2015-12-26,Mexico-Veracruz_de_Ignacio_de_la_Llave,0
2015-12-26,Mexico-Yucatan,0
2015-12-26,Mexico-Zacatecas,0
2015-12-27,El_Salvador,0
2015-12-27,El_Salvador-Ahuachapan,0
2015-12-27,El_Salvador-Cabanas,0
2015-12-27,El_Salvador-Chalatenango,0
2015-12-27,El_Salvador-Cuscatlan,0
2015-12-27,El_Salvador-La_Libertad,0
2015-12-27,El_Salvador-La_Paz,0
2015-12-27,El_Salvador-La_Union,0
2015-12-27,El_Salvador-Morazan,0
2015-12-27,El_Salvador-San_Miguel,0
2015-12-27,El_Salvador-San_Salvador,0
2015-12-27,El_Salvador-San_Vicente,0
2015-12-27,El_Salvador-Santa_Ana,0
2015-12-27,El_Salvador-Sonsonate,0
2015-12-27,El_Salvador-Usulutan,0
2015-12-29,Guatemala,1
2015-12-29,Guatemala-Chiquimula,0
2015-12-29,Guatemala-Escuintla,1
2015-12-29,Guatemala-Jutiapa,0
2015-12-29,Guatemala-Nor_Oriente,0
2015-12-29,Guatemala-Suchitepequez,0
2015-12-29,Guatemala-Zacapa,1
2016-01-02,Mexico-Aguascalientes,0
2016-01-02,Mexico-Baja_California,0
2016-01-02,Mexico-Baja_California_Sur,0
2016-01-02,Mexico-Campeche,0
2016-01-02,Mexico-Chiapas,1
2016-01-02,Mexico-Chihuahua,0
2016-01-02,Mexico-Coahuila_de_Zaragoza,0
2016-01-02,Mexico-Colima,0
2016-01-02,Mexico-Distrito_Federal,0
2016-01-02,Mexico-Durango,0
2016-01-02,Mexico-Guanajuato,0
2016-01-02,Mexico-Guerrero,0
2016-01-02,Mexico-Hidalgo,0
2016-01-02,Mexico-Jalisco,1
2016-01-02,Mexico-Mexico,0
2016-01-02,Mexico-Michoacan_de_Ocampo,0
2016-01-02,Mexico-Morelos,0
2016-01-02,Mexico-Nayarit,0
2016-01-02,Mexico-Nuevo_Leon,1
2016-01-02,Mexico-Oaxaca,0
2016-01-02,Mexico-Puebla,0
2016-01-02,Mexico-Queretaro_de_Arteaga,0
2016-01-02,Mexico-Quintana_Roo,0
2016-01-02,Mexico-San_Luis_Potosi,0
2016-01-02,Mexico-Sinaloa,0
2016-01-02,Mexico-Sonora,0
2016-01-02,Mexico-Tabasco,0
2016-01-02,Mexico-Tamaulipas,0
2016-01-02,Mexico-Tlaxcala,0
2016-01-02,Mexico-Veracruz_de_Ignacio_de_la_Llave,0
2016-01-02,Mexico-Yucatan,0
2016-01-02,Mexico-Zacatecas,0
2016-01-09,Colombia-Amazonas-El_Encanto,0
2016-01-09,Colombia-Amazonas-La_Chorrera,0
2016-01-09,Colombia-Amazonas-La_Pedrera,0
2016-01-09,Colombia-Amazonas-La_Victoria,0
2016-01-09,Colombia-Amazonas-Leticia,0
2016-01-09,Colombia-Amazonas-Miriti_Parana,0
2016-01-09,Colombia-Amazonas-Puerto_Alegria,0
2016-01-09,Colombia-Amazonas-Puerto_Arica,0
2016-01-09,Colombia-Amazonas-Puerto_Narino,0
2016-01-09,Colombia-Amazonas-Puerto_Santander,0
2016-01-09,Colombia-Amazonas-Tarapaca,0
2016-01-09,Colombia-Amazonas-Unknown,0
2016-01-09,Colombia-Antioquia-Abejorral,0
2016-01-09,Colombia-Antioquia-Abriaqui,0
2016-01-09,Colombia-Antioquia-Alejandria,0
2016-01-09,Colombia-Antioquia-Amaga,0
2016-01-09,Colombia-Antioquia-Amalfi,0
2016-01-09,Colombia-Antioquia-Andes,0
2016-01-09,Colombia-Antioquia-Angelopolis,0
2016-01-09,Colombia-Antioquia-Angostura,0
2016-01-09,Colombia-Antioquia-Anori,0
2016-01-09,Colombia-Antioquia-Anza,0
2016-01-09,Colombia-Antioquia-Apartado,1
2016-01-09,Colombia-Antioquia-Arboletes,0
2016-01-09,Colombia-Antioquia-Argelia,0
2016-01-09,Colombia-Antioquia-Armenia,0
2016-01-09,Colombia-Antioquia-Barbosa,0
2016-01-09,Colombia-Antioquia-Bello,1
2016-01-09,Colombia-Antioquia-Belmira,0
2016-01-09,Colombia-Antioquia-Betania,0
2016-01-09,Colombia-Antioquia-Betulia,0
2016-01-09,Colombia-Antioquia-Briceno,0
2016-01-09,Colombia-Antioquia-Buritica,0
2016-01-09,Colombia-Antioquia-Caceres,0
2016-01-09,Colombia-Antioquia-Caicedo,0
2016-01-09,Colombia-Antioquia-Caldas,0
2016-01-09,Colombia-Antioquia-Campamento,0
2016-01-09,Colombia-Antioquia-Canasgordas,1
2016-01-09,Colombia-Antioquia-Caracoli,0
2016-01-09,Colombia-Antioquia-Caramanta,0
2016-01-09,Colombia-Antioquia-Carepa,0
2016-01-09,Colombia-Antioquia-Carolina,0
2016-01-09,Colombia-Antioquia-Caucasia,1
